,player_name,team_name,role_label,possessions,total_per100pos,role_adjusted_total100
27,Leah Galton,Manchester United Women,Attackers / chance+shot heavy,44,4.419461404656679,1.5897586840006253
69,Isobel Goodwin,London City Lionesses,Wide players (FB/W),6,1.5141999504218497,1.5184292080988866
65,Lynn Wilms,Aston Villa Women,Deep defenders,12,1.290324999467886,1.2210161251467673
21,Elisabeth Terland,Manchester United Women,Attackers / chance+shot heavy,179,3.752965369419434,0.9232626487633802
19,Stephanie Catley,FC Arsenal Women,Wide players (FB/W),9,0.8045444649219,0.8087737225989369
82,Lisa Naalsund,Manchester United Women,Wide players (FB/W),113,0.7008982264011121,0.705127484078149
119,Amanda Nildén,Tottenham Hotspur Women,Wide players (FB/W),5,0.687879975448598,0.6921092331256349
74,Rachel Williams,Manchester United Women,Wide players (FB/W),31,0.6122354634557757,0.6164647211328126
48,Jess Park,Manchester United Women,Central progressors/creators,340,1.2897841172905504,0.5628569547405148
154,Caitlin Hayes,Brighton & Hove Albion Women,Wide players (FB/W),5,0.556040000228674,0.5602692579057108
42,Ashleigh Neville,Tottenham Hotspur Women,Deep defenders,13,0.5827846396641695,0.5134757653430507
10,Celin Ildhusøy,Manchester United Women,Wide players (FB/W),108,0.4092203581607208,0.4134496158377577
93,Keira Walsh,FC Chelsea Women,Deep defenders,5,0.42656000368879204,0.3572511293676733
24,Hannah Blundell,Manchester United Women,Wide players (FB/W),47,0.28965107401822937,0.2938803316952663
22,Julia Zigiotti Olme,Manchester United Women,Central progressors/creators,434,1.0196599012910152,0.2927327387409796
