,player_name,team_name,role_label,possessions,xa_per100pos,prog_per100pos,xg_per100pos,total_per100pos
27,Leah Galton,Manchester United Women,Attackers / chance+shot heavy,44,2.073181852690387,0.9615068191124029,1.3847727328538892,4.419461404656679
69,Isobel Goodwin,London City Lionesses,Wide players (FB/W),6,1.6228332805136816,-0.10863333009183167,0.0,1.5141999504218497
65,Lynn Wilms,Aston Villa Women,Deep defenders,12,1.3321666667858758,-0.04184166731798969,0.0,1.290324999467886
21,Elisabeth Terland,Manchester United Women,Attackers / chance+shot heavy,179,0.9459497200750462,0.07755195136614948,2.729463697978238,3.752965369419434
19,Stephanie Catley,FC Arsenal Women,Wide players (FB/W),9,0.8980000184641944,-0.09345555354229444,0.0,0.8045444649219
119,Amanda Nildén,Tottenham Hotspur Women,Wide players (FB/W),5,0.7221999764442439,-0.034320000995646,0.0,0.687879975448598
96,Melvine Malard,Manchester United Women,Attackers / chance+shot heavy,304,0.6905592203781299,-0.011785859460717966,2.0183651303676395,2.6971384912850516
42,Ashleigh Neville,Tottenham Hotspur Women,Deep defenders,13,0.6256154088567616,-0.042830769192592114,0.0,0.5827846396641695
126,Anna Sandberg,Manchester United Women,Central progressors/creators,459,0.6060653506309719,0.34297581759463847,0.04916557705350429,0.9982067452791146
106,Fridolina Rolfö,Manchester United Women,Attackers / chance+shot heavy,237,0.6055316454676887,0.16105021458150828,1.2252953406501919,1.991877200699389
154,Caitlin Hayes,Brighton & Hove Albion Women,Wide players (FB/W),5,0.567600000649688,-0.011560000421014,0.0,0.556040000228674
48,Jess Park,Manchester United Women,Central progressors/creators,340,0.5129176476903532,0.2688488233418293,0.508017646258368,1.2897841172905504
93,Keira Walsh,FC Chelsea Women,Deep defenders,5,0.48000000417232397,-0.053440000483531994,0.0,0.42656000368879204
22,Julia Zigiotti Olme,Manchester United Women,Central progressors/creators,434,0.4768870852911492,0.25432350364132095,0.28844931235854515,1.0196599012910152
160,Jade Rose,Manchester City Women,Deep defenders,10,0.352600002661346,-0.0026699998852559993,0.0,0.34993000277609004
