,player_name,team_name,role_label,possessions,total_per100pos,role_adjusted_total100
106,Fridolina Rolfö,Manchester United Women,Attackers / chance+shot heavy,237,1.991877200699389,-0.8378255199566647
140,Hinata Miyazawa,Manchester United Women,Central progressors/creators,468,0.2299536334213868,-0.49697352912864884
12,Kirsty Hanson,Aston Villa Women,Wide players (FB/W),3,-0.37320000119507,-0.3689707435180331
64,Dominique Janssen,Manchester United Women,Central progressors/creators,547,0.37973912262314957,-0.34718803992688607
26,Millie Turner,Manchester United Women,Wide players (FB/W),31,-0.30806452288684993,-0.303835265209813
25,Maya Le Tissier,Manchester United Women,Central progressors/creators,623,0.4329104310640532,-0.29401673148598245
55,Johanna Rytting Kaneryd,FC Chelsea Women,Wide players (FB/W),5,-0.28811999945900596,-0.28389074178196905
123,Julia Roddar,London City Lionesses,Deep defenders,5,-0.213119993859434,-0.28242886818055274
88,Jayde Riviere,Manchester United Women,Central progressors/creators,429,0.5124093246313829,-0.21451783791865275
110,Jana Fernández Velasco,London City Lionesses,Wide players (FB/W),7,-0.20487143067709,-0.20064217300005308
50,Ceri Holland,FC Liverpool Women,Wide players (FB/W),8,-0.19802500355580877,-0.19379574587877185
3,Beth Mead,FC Arsenal Women,Wide players (FB/W),5,-0.194280000869182,-0.1900507431921451
159,Oona Siren,West Ham United Women,Deep defenders,7,-0.10258571658466285,-0.1718945909057816
0,Leah Williamson,FC Arsenal Women,Deep defenders,8,-0.06613749965253876,-0.1354463739736575
96,Melvine Malard,Manchester United Women,Attackers / chance+shot heavy,304,2.6971384912850516,-0.1325642293710021
